"date","value","topic","variable_short","variable_long","location","unit","source","update","public","description"
2020-01-01,4854,"Bildung","usage_wiki_fernlernen","Nutzung des Wiki Fernlernen","global","Anzahl Aufrufe","Kanton Zürich, Volksschulamt","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_vsa/"
2020-01-02,5681,"Bildung","usage_wiki_fernlernen","Nutzung des Wiki Fernlernen","global","Anzahl Aufrufe","Kanton Zürich, Volksschulamt","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_vsa/"
2020-01-03,7447,"Bildung","usage_wiki_fernlernen","Nutzung des Wiki Fernlernen","global","Anzahl Aufrufe","Kanton Zürich, Volksschulamt","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_vsa/"
2020-01-04,5773,"Bildung","usage_wiki_fernlernen","Nutzung des Wiki Fernlernen","global","Anzahl Aufrufe","Kanton Zürich, Volksschulamt","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_vsa/"
2020-01-05,5452,"Bildung","usage_wiki_fernlernen","Nutzung des Wiki Fernlernen","global","Anzahl Aufrufe","Kanton Zürich, Volksschulamt","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_vsa/"
2020-01-06,8991,"Bildung","usage_wiki_fernlernen","Nutzung des Wiki Fernlernen","global","Anzahl Aufrufe","Kanton Zürich, Volksschulamt","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_vsa/"
2020-01-07,8429,"Bildung","usage_wiki_fernlernen","Nutzung des Wiki Fernlernen","global","Anzahl Aufrufe","Kanton Zürich, Volksschulamt","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_vsa/"
2020-01-08,10526,"Bildung","usage_wiki_fernlernen","Nutzung des Wiki Fernlernen","global","Anzahl Aufrufe","Kanton Zürich, Volksschulamt","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_vsa/"
2020-01-09,9688,"Bildung","usage_wiki_fernlernen","Nutzung des Wiki Fernlernen","global","Anzahl Aufrufe","Kanton Zürich, Volksschulamt","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_vsa/"
2020-01-10,7556,"Bildung","usage_wiki_fernlernen","Nutzung des Wiki Fernlernen","global","Anzahl Aufrufe","Kanton Zürich, Volksschulamt","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_vsa/"
2020-01-11,6169,"Bildung","usage_wiki_fernlernen","Nutzung des Wiki Fernlernen","global","Anzahl Aufrufe","Kanton Zürich, Volksschulamt","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_vsa/"
2020-01-12,6453,"Bildung","usage_wiki_fernlernen","Nutzung des Wiki Fernlernen","global","Anzahl Aufrufe","Kanton Zürich, Volksschulamt","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_vsa/"
2020-01-13,9839,"Bildung","usage_wiki_fernlernen","Nutzung des Wiki Fernlernen","global","Anzahl Aufrufe","Kanton Zürich, Volksschulamt","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_vsa/"
2020-01-14,12263,"Bildung","usage_wiki_fernlernen","Nutzung des Wiki Fernlernen","global","Anzahl Aufrufe","Kanton Zürich, Volksschulamt","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_vsa/"
2020-01-15,7836,"Bildung","usage_wiki_fernlernen","Nutzung des Wiki Fernlernen","global","Anzahl Aufrufe","Kanton Zürich, Volksschulamt","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_vsa/"
2020-01-16,8138,"Bildung","usage_wiki_fernlernen","Nutzung des Wiki Fernlernen","global","Anzahl Aufrufe","Kanton Zürich, Volksschulamt","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_vsa/"
2020-01-17,7139,"Bildung","usage_wiki_fernlernen","Nutzung des Wiki Fernlernen","global","Anzahl Aufrufe","Kanton Zürich, Volksschulamt","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_vsa/"
2020-01-18,5264,"Bildung","usage_wiki_fernlernen","Nutzung des Wiki Fernlernen","global","Anzahl Aufrufe","Kanton Zürich, Volksschulamt","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_vsa/"
2020-01-19,5978,"Bildung","usage_wiki_fernlernen","Nutzung des Wiki Fernlernen","global","Anzahl Aufrufe","Kanton Zürich, Volksschulamt","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_vsa/"
2020-01-20,11054,"Bildung","usage_wiki_fernlernen","Nutzung des Wiki Fernlernen","global","Anzahl Aufrufe","Kanton Zürich, Volksschulamt","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_vsa/"
2020-01-21,11274,"Bildung","usage_wiki_fernlernen","Nutzung des Wiki Fernlernen","global","Anzahl Aufrufe","Kanton Zürich, Volksschulamt","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_vsa/"
2020-01-22,11467,"Bildung","usage_wiki_fernlernen","Nutzung des Wiki Fernlernen","global","Anzahl Aufrufe","Kanton Zürich, Volksschulamt","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_vsa/"
2020-01-23,10930,"Bildung","usage_wiki_fernlernen","Nutzung des Wiki Fernlernen","global","Anzahl Aufrufe","Kanton Zürich, Volksschulamt","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_vsa/"
2020-01-24,7754,"Bildung","usage_wiki_fernlernen","Nutzung des Wiki Fernlernen","global","Anzahl Aufrufe","Kanton Zürich, Volksschulamt","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_vsa/"
2020-01-25,6687,"Bildung","usage_wiki_fernlernen","Nutzung des Wiki Fernlernen","global","Anzahl Aufrufe","Kanton Zürich, Volksschulamt","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_vsa/"
2020-01-26,6806,"Bildung","usage_wiki_fernlernen","Nutzung des Wiki Fernlernen","global","Anzahl Aufrufe","Kanton Zürich, Volksschulamt","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_vsa/"
2020-01-27,9542,"Bildung","usage_wiki_fernlernen","Nutzung des Wiki Fernlernen","global","Anzahl Aufrufe","Kanton Zürich, Volksschulamt","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_vsa/"
